id,nome,email,telefone,nascimento,cpf,curso_id
2,Pedro Barbosa,pedro.barbosa@hotmail.com,(91) 42513-5427,1998-04-28,39856591828,6
15,Carlos Araújo,carlos.araújo@hotmail.com,(91) 49877-6945,2004-03-08,24756343432,3
38,Lucas Lima,lucas.lima@outlook.com,(41) 15851-4936,1998-06-09,66098217330,2
50,João Oliveira,joão.oliveira@gmail.com,(51) 32898-6143,2003-02-19,04741950521,4
33,Gabriela Costa,gabriela.costa@outlook.com,(81) 35158-5064,2004-02-19,98026903972,5
3,Daniela Lima,daniela.lima@yahoo.com,(51) 93534-8740,2005-06-01,42076275400,6
44,Mariana Mendes,mariana.mendes@outlook.com,(81) 98079-3597,1999-02-05,94889060795,5
18,Fernanda Lima,fernanda.lima@outlook.com,(21) 09477-7520,2002-08-21,10456189025,4
4,Carlos Barbosa,carlos.barbosa@gmail.com,(61) 98262-0450,2002-01-05,66358979217,2
24,André Souza,andré.souza@hotmail.com,(81) 48467-7378,2004-10-07,15710783720,6
8,Gustavo Mendes,gustavo.mendes@yahoo.com,(81) 77387-2148,1996-06-03,60923810967,4
46,Luiz Lima,luiz.lima@gmail.com,(51) 86528-1685,2006-10-18,39371912755,6
31,Luiz Barbosa,luiz.barbosa@yahoo.com,(21) 60481-7549,2000-05-31,91208592089,3
12,Luiz Pereira,luiz.pereira@outlook.com,(31) 98069-9016,2004-08-28,12343829484,6
35,Patrícia Moreira,patrícia.moreira@yahoo.com,(91) 91783-9084,1999-05-29,90446490060,3
19,Mariana Mendes,mariana.mendes@hotmail.com,(91) 67749-6499,2006-06-13,90762025146,4
43,Pedro Pereira,pedro.pereira@outlook.com,(81) 99799-5527,2005-08-24,43205340808,1
6,Daniela Carvalho,daniela.carvalho@gmail.com,(21) 42940-1965,1995-11-15,49181045869,6
23,Daniela Moreira,daniela.moreira@outlook.com,(11) 38597-7034,1999-02-15,94619621550,1
49,Beatriz Moreira,beatriz.moreira@yahoo.com,(11) 60685-3615,2004-04-07,30731094874,5
48,Gustavo Moreira,gustavo.moreira@outlook.com,(51) 68862-3924,2006-05-28,43975101458,1
37,Gabriela Lima,gabriela.lima@outlook.com,(21) 11161-5280,1997-07-10,56489490231,5
11,Camila Santos,camila.santos@hotmail.com,(71) 69096-7054,1994-10-07,89475622403,6
10,Ricardo Araújo,ricardo.araújo@outlook.com,(31) 77434-8734,2000-03-14,72380131243,4
5,Camila Silva,camila.silva@hotmail.com,(61) 63421-6073,2003-08-30,38826320735,6
45,Juliana Gomes,juliana.gomes@yahoo.com,(51) 66590-5151,1998-05-11,32896106936,6
21,Luiz Almeida,luiz.almeida@outlook.com,(81) 19065-9401,2003-05-12,85996207469,2
28,Mariana Rodrigues,mariana.rodrigues@outlook.com,(31) 37474-0748,2005-03-15,43564281342,5
42,Camila Cardoso,camila.cardoso@outlook.com,(91) 16453-5218,1997-02-24,51739611211,6
27,Rafael Ribeiro,rafael.ribeiro@gmail.com,(21) 34316-1172,1995-11-22,90723155710,4
14,Gustavo Silva,gustavo.silva@yahoo.com,(71) 63193-1491,1994-07-09,73435388196,4
34,Lucas Cardoso,lucas.cardoso@hotmail.com,(41) 52904-2284,1995-01-25,18137502141,1
29,Gabriela Cardoso,gabriela.cardoso@yahoo.com,(51) 06409-0974,1994-12-28,63666768696,3
36,Mariana Cardoso,mariana.cardoso@yahoo.com,(71) 98478-9611,1996-05-25,85848483733,3
25,Fernanda Cardoso,fernanda.cardoso@outlook.com,(31) 78755-8867,2002-01-16,92384349397,6
22,Gustavo Araújo,gustavo.araújo@outlook.com,(21) 75655-1256,1995-08-14,29854339459,6
26,Carlos Ribeiro,carlos.ribeiro@gmail.com,(31) 89517-1870,1996-02-10,46149366888,4
1,Beatriz Martins,beatriz.martins@gmail.com,(41) 99091-6998,2001-12-10,27236237049,1
20,Fernanda Santos,fernanda.santos@hotmail.com,(51) 47134-9361,1998-12-29,69801375216,6
9,Camila Cardoso,camila.cardoso@hotmail.com,(71) 76320-1632,1994-05-03,50284869598,5
7,Lucas Gomes,lucas.gomes@outlook.com,(21) 59514-8465,2000-05-01,21496963502,4
30,André Santos,andré.santos@yahoo.com,(31) 14562-3285,1998-08-10,98284873191,2
13,Daniela Santos,daniela.santos@yahoo.com,(41) 10033-0923,2004-08-22,65267167189,1
40,Camila Almeida,camila.almeida@hotmail.com,(91) 15614-9784,2006-12-30,35032123071,4
39,Gustavo Martins,gustavo.martins@gmail.com,(31) 01836-6752,2001-11-14,77500166264,4
32,Camila Souza,camila.souza@hotmail.com,(11) 04711-3826,1999-10-16,67947140449,1
41,Daniela Rodrigues,daniela.rodrigues@yahoo.com,(21) 60607-1596,1997-09-28,74103868908,2
47,Ricardo Santos,ricardo.santos@yahoo.com,(31) 96222-9270,2000-10-18,62427453848,3
16,Mariana Almeida,mariana.almeida@gmail.com,(91) 31367-8377,2000-04-14,02635454737,3
17,Fernanda Almeida,fernanda.almeida@hotmail.com,(21) 35182-3374,1995-06-27,95211210529,5
